"","location","measure","Year","mean_value","counter","waterway"
"1","Achara","Arsenic",2009,0.825,8,"Waterway_2"
"2","Achara","Arsenic",2010,1.00833333333333,12,"Waterway_2"
"3","Achara","Arsenic",2011,1.20555555555556,18,"Waterway_2"
"4","Achara","Arsenic",2012,0.358333333333333,12,"Waterway_2"
"5","Achara","Arsenic",2013,0.35,12,"Waterway_2"
"6","Boonsri","AGOC-3A",2014,0.320857142857143,28,"Waterway_1"
"7","Boonsri","AGOC-3A",2015,9.96691428571429,35,"Waterway_1"
"8","Boonsri","AGOC-3A",2016,0.0659642857142857,28,"Waterway_1"
"9","Boonsri","Arsenic",1998,0,21,"Waterway_1"
"10","Boonsri","Arsenic",2004,0.242,1,"Waterway_1"
"11","Boonsri","Arsenic",2008,1.44,6,"Waterway_1"
"12","Boonsri","Arsenic",2010,2.34444444444444,9,"Waterway_1"
"13","Boonsri","Arsenic",2012,0,32,"Waterway_1"
"14","Boonsri","Arsenic",2013,0,36,"Waterway_1"
"15","Boonsri","Arsenic",2014,0.78896875,32,"Waterway_1"
"16","Boonsri","Chlorodinine",2014,0.25125,28,"Waterway_1"
"17","Boonsri","Chlorodinine",2015,0.247028571428571,35,"Waterway_1"
"18","Boonsri","Chlorodinine",2016,0.0292857142857143,28,"Waterway_1"
"19","Boonsri","Methylosmoline",2014,0.300035714285714,28,"Waterway_1"
"20","Boonsri","Methylosmoline",2015,0.434028571428571,35,"Waterway_1"
"21","Boonsri","Methylosmoline",2016,0.0409642857142857,28,"Waterway_1"
"22","Busarakhan","AGOC-3A",2014,0.2987,10,"Waterway_1"
"23","Busarakhan","AGOC-3A",2015,0.366,9,"Waterway_1"
"24","Busarakhan","AGOC-3A",2016,0.750416666666667,12,"Waterway_1"
"25","Busarakhan","Arsenic",1998,0,3,"Waterway_1"
"26","Busarakhan","Arsenic",2004,2.227,1,"Waterway_1"
"27","Busarakhan","Arsenic",2008,0.521,8,"Waterway_1"
"28","Busarakhan","Arsenic",2009,1.15875,8,"Waterway_1"
"29","Busarakhan","Arsenic",2010,1.0025,12,"Waterway_1"
"30","Busarakhan","Arsenic",2011,1.41666666666667,12,"Waterway_1"
"31","Busarakhan","Arsenic",2012,1.75,2,"Waterway_1"
"32","Busarakhan","Arsenic",2014,1.46,5,"Waterway_1"
"33","Busarakhan","Arsenic",2016,1.8,1,"Waterway_1"
"34","Busarakhan","Chlorodinine",2014,0.2556,10,"Waterway_1"
"35","Busarakhan","Chlorodinine",2015,0.275,9,"Waterway_1"
"36","Busarakhan","Chlorodinine",2016,0.0361666666666667,12,"Waterway_1"
"37","Busarakhan","Methylosmoline",2014,0.3033,10,"Waterway_1"
"38","Busarakhan","Methylosmoline",2015,0.311555555555556,9,"Waterway_1"
"39","Busarakhan","Methylosmoline",2016,0.0269166666666667,12,"Waterway_1"
"40","Chai","AGOC-3A",2014,0.515044444444444,45,"Waterway_1"
"41","Chai","AGOC-3A",2015,1.42392592592593,27,"Waterway_1"
"42","Chai","AGOC-3A",2016,0.24253125,32,"Waterway_1"
"43","Chai","Arsenic",1998,0,36,"Waterway_1"
"44","Chai","Arsenic",2004,0.1,1,"Waterway_1"
"45","Chai","Arsenic",2008,0.303181818181818,22,"Waterway_1"
"46","Chai","Arsenic",2009,1.04703703703704,27,"Waterway_1"
"47","Chai","Arsenic",2010,0.908611111111111,36,"Waterway_1"
"48","Chai","Arsenic",2011,1.11333333333333,30,"Waterway_1"
"49","Chai","Arsenic",2012,1.53333333333333,6,"Waterway_1"
"50","Chai","Arsenic",2013,2.16666666666667,3,"Waterway_1"
"51","Chai","Arsenic",2014,1.52222222222222,9,"Waterway_1"
"52","Chai","Chlorodinine",2014,0.243666666666667,45,"Waterway_1"
"53","Chai","Chlorodinine",2015,0.250851851851852,27,"Waterway_1"
"54","Chai","Chlorodinine",2016,0.02290625,32,"Waterway_1"
"55","Chai","Methylosmoline",2014,0.299133333333333,45,"Waterway_1"
"56","Chai","Methylosmoline",2015,3.55681481481481,27,"Waterway_1"
"57","Chai","Methylosmoline",2016,1.748125,32,"Waterway_1"
"58","Decha","Arsenic",2009,1.01,3,"Waterway_4"
"59","Decha","Arsenic",2011,1,3,"Waterway_4"
"60","Decha","Arsenic",2014,1.83,7,"Waterway_4"
"61","Decha","Arsenic",2015,2.054,5,"Waterway_4"
"62","Decha","Arsenic",2016,2.61666666666667,3,"Waterway_4"
"63","Kannika","AGOC-3A",2014,0.52815625,32,"Waterway_1"
"64","Kannika","AGOC-3A",2015,0.354259259259259,27,"Waterway_1"
"65","Kannika","AGOC-3A",2016,0.249333333333333,33,"Waterway_1"
"66","Kannika","Arsenic",1998,0,36,"Waterway_1"
"67","Kannika","Arsenic",2008,0.448052631578947,19,"Waterway_1"
"68","Kannika","Arsenic",2009,1.01111111111111,27,"Waterway_1"
"69","Kannika","Arsenic",2010,0.969722222222222,36,"Waterway_1"
"70","Kannika","Arsenic",2011,1.27111111111111,36,"Waterway_1"
"71","Kannika","Arsenic",2012,1.63333333333333,9,"Waterway_1"
"72","Kannika","Arsenic",2014,1.59047619047619,21,"Waterway_1"
"73","Kannika","Arsenic",2015,1.89166666666667,12,"Waterway_1"
"74","Kannika","Arsenic",2016,2.22222222222222,36,"Waterway_1"
"75","Kannika","Chlorodinine",2014,0.2381875,32,"Waterway_1"
"76","Kannika","Chlorodinine",2015,0.246740740740741,27,"Waterway_1"
"77","Kannika","Chlorodinine",2016,0.0252727272727273,33,"Waterway_1"
"78","Kannika","Methylosmoline",2014,0.3010625,32,"Waterway_1"
"79","Kannika","Methylosmoline",2015,0.308259259259259,27,"Waterway_1"
"80","Kannika","Methylosmoline",2016,0.0293333333333333,33,"Waterway_1"
"81","Kohsoom","AGOC-3A",2014,0.3744,10,"Waterway_1"
"82","Kohsoom","AGOC-3A",2015,0.564818181818182,11,"Waterway_1"
"83","Kohsoom","AGOC-3A",2016,0.0680909090909091,11,"Waterway_1"
"84","Kohsoom","Arsenic",1998,0,6,"Waterway_1"
"85","Kohsoom","Arsenic",2004,0.819,1,"Waterway_1"
"86","Kohsoom","Arsenic",2008,1.1,1,"Waterway_1"
"87","Kohsoom","Arsenic",2010,2.58416666666667,12,"Waterway_1"
"88","Kohsoom","Arsenic",2011,2.85,10,"Waterway_1"
"89","Kohsoom","Arsenic",2012,1.61818181818182,11,"Waterway_1"
"90","Kohsoom","Arsenic",2013,1.50833333333333,12,"Waterway_1"
"91","Kohsoom","Arsenic",2014,1.475,12,"Waterway_1"
"92","Kohsoom","Chlorodinine",2014,0.2413,10,"Waterway_1"
"93","Kohsoom","Chlorodinine",2015,0.243818181818182,11,"Waterway_1"
"94","Kohsoom","Chlorodinine",2016,0.0677272727272727,11,"Waterway_1"
"95","Kohsoom","Methylosmoline",2014,0.3087,10,"Waterway_1"
"96","Kohsoom","Methylosmoline",2015,6.42990909090909,11,"Waterway_1"
"97","Kohsoom","Methylosmoline",2016,58.21,11,"Waterway_1"
"98","Sakda","AGOC-3A",2014,0.461272727272727,33,"Waterway_2"
"99","Sakda","AGOC-3A",2015,0.514481481481482,27,"Waterway_2"
"100","Sakda","AGOC-3A",2016,0.184727272727273,33,"Waterway_2"
"101","Sakda","Arsenic",1998,0,12,"Waterway_2"
"102","Sakda","Arsenic",2004,0.622,1,"Waterway_2"
"103","Sakda","Arsenic",2008,0.462954545454545,22,"Waterway_2"
"104","Sakda","Arsenic",2009,1.05,24,"Waterway_2"
"105","Sakda","Arsenic",2010,0.993333333333333,36,"Waterway_2"
"106","Sakda","Arsenic",2011,1.27878787878788,33,"Waterway_2"
"107","Sakda","Arsenic",2012,1.6,6,"Waterway_2"
"108","Sakda","Arsenic",2014,1.73333333333333,18,"Waterway_2"
"109","Sakda","Arsenic",2015,2.275,12,"Waterway_2"
"110","Sakda","Arsenic",2016,2.19166666666667,36,"Waterway_2"
"111","Sakda","Chlorodinine",2014,0.252454545454545,33,"Waterway_2"
"112","Sakda","Chlorodinine",2015,0.246185185185185,27,"Waterway_2"
"113","Sakda","Chlorodinine",2016,0.0286666666666667,33,"Waterway_2"
"114","Sakda","Methylosmoline",2014,0.304939393939394,33,"Waterway_2"
"115","Sakda","Methylosmoline",2015,0.295148148148148,27,"Waterway_2"
"116","Sakda","Methylosmoline",2016,0.0283939393939394,33,"Waterway_2"
"117","Somchair","AGOC-3A",2014,0.2951,10,"Waterway_2"
"118","Somchair","AGOC-3A",2015,0.412777777777778,9,"Waterway_2"
"119","Somchair","AGOC-3A",2016,0.580083333333333,12,"Waterway_2"
"120","Somchair","Arsenic",1998,0,6,"Waterway_2"
"121","Somchair","Arsenic",2008,0.5925,8,"Waterway_2"
"122","Somchair","Arsenic",2009,1.25777777777778,9,"Waterway_2"
"123","Somchair","Arsenic",2010,1.18333333333333,12,"Waterway_2"
"124","Somchair","Arsenic",2011,1.61666666666667,12,"Waterway_2"
"125","Somchair","Arsenic",2012,1.7,2,"Waterway_2"
"126","Somchair","Arsenic",2014,1.7,5,"Waterway_2"
"127","Somchair","Chlorodinine",2014,0.2576,10,"Waterway_2"
"128","Somchair","Chlorodinine",2015,0.253444444444444,9,"Waterway_2"
"129","Somchair","Chlorodinine",2016,0.0329166666666667,12,"Waterway_2"
"130","Somchair","Methylosmoline",2014,0.301,10,"Waterway_2"
"131","Somchair","Methylosmoline",2015,4.03111111111111,9,"Waterway_2"
"132","Somchair","Methylosmoline",2016,130.491666666667,12,"Waterway_2"
"133","Tansanee","Arsenic",2011,2.26,1,"Waterway_3"
"134","Tansanee","Arsenic",2015,4.4678,10,"Waterway_3"
